ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-56711,CAL|Taco|Oceanwise|Prawn(1),GV - CALIENTE,0,0,0,0,0
R-61837,CAL|Taco|Oceanwise|Shrimp(1),GV - CALIENTE FEATURE,0,0,0,0,0
R-68791,CAL|Taco|Picadillo Beef(1),GV - CALIENTE,0,0,0,0,0
R-57235,CAL|Taco|plant based|corn(1),GV - CALIENTE FEATURE,0,0,0,0,0
R-44583,CAL|Taco|Pulled pork(1)|AAD,GV - CALIENTE,0,0,0,0,0
R-54196,CAL|Taco|Spinach feta,SPECIALS,0,0,0,0,0
R-55282,CAL|Taco|Steak(1)|AAD,GV - CALIENTE,0,0,0,0,0
R-35882,CAL|Taco|Sweet Potato|1 pc|AAD,FT BUENO,0,0,0,0,0
R-50363,GZA|Bowl|Acorn Squash|AAD,GV GYAZA,0,0,0,0,0
R-49761,GZA|Bowl|Bibimbap Tofu,GV GYAZA,0,0,0,0,0
R-68822,GZA|Bowl|Corn togorashi ,GV GYAZA,0,0,0,0,0
R-64725,GZA|Bowl|Crispy Cauli Bowl,GV GYAZA,0,0,0,0,0
R-50362,GZA|Bowl|Karaage Chicken|AAD,GV GYAZA,0,0,0,0,0
R-54342,GZA|Bowl|Kitsilano Tofu|AAD,GV GYAZA,0,0,0,0,0
R-50360,GZA|Bowl|Salmon ponzu,GV GYAZA,0,0,0,0,0
R-65512,GZA|Bowl|Spicy albacore Tuna,GV GYAZA,0,0,0,0,0
R-50361,GZA|Bowl|Spicy Beef|AAD,GV GYAZA,0,0,0,0,0
