ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-8488,40,ITEM PICKLED BEET,50.0,g,1.0,g,N
I-2320,58,SOYA SAUCE,1.0,L,4.0,fl oz,Y
I-14789,58,SAUCE GLAZE TERIYAKI THICK,3.7,ml,4.0,ml,Y
I-2182,25,FLOUR RICE ,450.0,g,2.0,g,N
I-2929,22,Corn Meal,400.0,g,2.0,g,N
I-1081,55,GRAND MARNIER,375.0,ml,13.0,fl oz,Y
I-14146,24,GF Vegan Choc Sand Cookie,2.0,ea,1.0,ea,N
I-9034,24,ITEM COOKED BAGUETTE,0.083,ea,1.0,ea,Y
I-1871,42,GARI-ginger,4.0,oz,1.0,oz,N
I-2447,54,WASABI ,20.0,g,1.0,g,N
I-2676,32,Can Juice Apple 340ml,34.0,can,400.0,can,N
I-4296,54,Cinnamon Stick,12.0,ea,400.0,ea,N
I-9606,3,LAMB'S - NAVY 151 PROOF,750.0,ml,400.0,fl oz,N
I-8250,58,Soy Sauce 8ml Peko,8.0,ea,1.0,ea,N
I-8298,13,Shrimp Tempura 31/40,2.0,ea,1.0,ea,N
I-14599,17,Dried Mango-Phillipine,25.0,g,1.0,g,N
I-3181,25,Rice Vermicelli Noodle,0.15,PKG,1.0,PKG,N
I-16224,35,LEMONS 5lb bag,0.25,ea,1.0,ea,N
I-2057,48,OIL CANOLA HI LO BOX ,600.0,ml,2.0,ml,N
I-2400,37,TOMATO PASTE  ,2.84,ml,2.0,ml,N
I-9117,55,Sawmill Creek - White 16L,1.8,L,2.0,fl oz,N
I-4199,54,STAR ANISE (WEST),50.0,g,400.0,lb,N
I-7801,55,Sawmill Creek - Red 16L,7.5,L,400.0,fl oz,N
I-8457,4,ITEM SOUP CHICK PEA DAHL,360.0,ml,1.0,ml,N
I-1471,55,Kronenbourg 1664 Blanc,1.0,bottle,0.6,bottle,N
I-9027,24,ITEM FISH BATTER DRY,400.0,g,0.6,g,N
I-8722,24,ITEM CROUTON,100.0,ml,1.0,ml,N
