ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-53778,FNH|Ravioli Squash|N13,SPECIALS,196.4985312,110.0,0.1965,0.178635,178.635028,84,15005.34235,1.79,1552.75,0.41
R-55059,FLX|Lettuce wrap Tofu,GV - FLEX BC,402.9042643,229.0,0.4029,0.175941,175.940727,69,12139.91016,0.71,1344.45,0.38
R-38160,SIDE|Small Bowl|16oz,GV - SIDES,781.8610867,453.592,0.7819,0.172371,172.371005,15498,2671405.835,1.5,963.39,0.24
R-46327,SIDE|Small Plate|6 inch,GV - SIDES,390.9305434,226.796,0.3909,0.172371,172.371005,5628,970104.0161,1.5,963.39,0.24
R-53417,POP|Cauliflower fries|TEN,SPECIALS,627.5156215,365.0,0.6275,0.171922,171.922088,73,12550.31242,0.72,227.96,0.81
R-47099,DOD|Potato salad | Add tuna,GV-FLEX DOD,684.0666835,400.0,0.6841,0.171017,171.016671,4,684.066684,2.38,280.46,0.24
R-46547,DEL|Salad|Bandit,GV - DELISH,498.6117299,295.0,0.4986,0.169021,169.020925,1112,187951.2686,1.66,956.25,0.23
R-50360,GZA|Bowl|Salmon ponzu,GV GYAZA,778.4945607,462.0,0.7785,0.168505,168.505316,2374,400031.6202,1.78,321.77,0.24
R-44679,SAND|Add Falafel,GV-SANDWICH,67.104,40.0,0.0671,0.16776,167.76,256,42946.56,0.59,0.0,1.3
R-33923,FRUIT|Blueberry|Basket,GV - FRUIT,782.9647409,473.17625,0.783,0.16547,165.47,39,6453.33,0.27,1624.51,0.07
R-53152,FRUIT|Blueberry|Basket.,GV - FRUIT,782.9647409,473.17625,0.783,0.16547,165.47,16,2647.52,0.27,1624.51,0.07
R-17207,FRUIT|Raspberry|Basket,GV - FRUIT,516.2661109,311.9998253,0.5163,0.16547,165.47,2,330.94,0.27,1624.51,0.07
R-41830,FLX|Pasta|Tomato & Spaghetti,SPECIALS,544.6540849,329.327875,0.5447,0.165384,165.383536,44,7276.875584,1.57,1192.08,0.31
R-53978,POP|Sauce Add|MR,SPECIALS,99.2164506,60.0,0.0992,0.165361,165.360751,3,496.082253,0.25,70.68,0.24
R-49585,FLX|Rotini|Primavera,SPECIALS,586.7374559,360.0,0.5867,0.162983,162.982627,17,2770.704659,1.65,1056.31,0.31
R-47096,FF|Risotto|Mushroom|Herbs&chee,GV FRESH FARE FEATURE,487.4720452,300.0,0.4875,0.162491,162.490682,514,83520.21055,0.72,349.75,0.38
R-50558,FLX|Bao|Bun|Smoked Tofu,GV FLEX BAO,172.3100019,107.0,0.1723,0.161037,161.037385,33,5314.233705,0.76,155.6,0.54
